Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Sierra Leone,SLE,energy_poverty_electricity_urban (% of urban population),EG.ELC.ACCS.UR.ZS,46.9,48.7,53.2,51.4,55.0,57.0,55.3,56.3,56.4,
Singapore,SGP,Access to Clean Fuels and Technologies for cooking (% of total population),EG.CFT.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
Singapore,SGP,Access to electricity (% of total population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Singapore,SGP,Population growth (annual %),SP.POP.GROW,1.29743609938602,0.0885954699924263,0.469704298714121,1.14428330688929,-0.311904961250833,-4.17033630017526,3.30862052439523,4.85831607781442,1.99449365639324,1.22350531679895
Singapore,SGP,energy_poverty_electricity_rural (% of rural population),EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Singapore,SGP,energy_poverty_electricity_urban (% of urban population),EG.ELC.ACCS.UR.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Sint Maarten (Dutch part),SXM,Access to electricity (% of total population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Sint Maarten (Dutch part),SXM,Population growth (annual %),SP.POP.GROW,2.05501156733828,1.93416606270848,1.81943322551715,1.6805019872063,1.53087407274557,1.36356391629724,1.35708688873829,1.43721256242405,1.39608999302398,1.3131397652904
Sint Maarten (Dutch part),SXM,energy_poverty_electricity_rural (% of rural population),EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Sint Maarten (Dutch part),SXM,energy_poverty_electricity_urban (% of urban population),EG.ELC.ACCS.UR.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Slovak Republic,SVK,Access to Clean Fuels and Technologies for cooking (% of total population),EG.CFT.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
Slovak Republic,SVK,Access to electricity (% of total population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Slovak Republic,SVK,Population growth (annual %),SP.POP.GROW,0.128922329956911,0.155178995687406,0.138508159611326,0.135328072840865,0.0857694756149868,-0.212358807611049,-0.284860959688394,-0.0923148510113108,-0.0861108401600769,-0.152382641257418
Slovak Republic,SVK,energy_poverty_electricity_rural (% of rural population),EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Slovak Republic,SVK,energy_poverty_electricity_urban (% of urban population),EG.ELC.ACCS.UR.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Slovenia,SVN,Access to Clean Fuels and Technologies for cooking (% of total population),EG.CFT.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
Slovenia,SVN,Access to electricity (% of total population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Slovenia,SVN,Population growth (annual %),SP.POP.GROW,0.0731972072415279,0.0651590392490152,0.362584395134764,0.696304046333357,0.669754656164979,0.268851969969908,0.189424378732817,0.396216782960902,0.326705896075754,0.168420657387838
Slovenia,SVN,energy_poverty_electricity_rural (% of rural population),EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Slovenia,SVN,energy_poverty_electricity_urban (% of urban population),EG.ELC.ACCS.UR.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Small states,SST,Access to Clean Fuels and Technologies for cooking (% of total population),EG.CFT.ACCS.ZS,68.0057576102462,68.2968499307678,68.5718095540702,68.832538403604,69.0543558887698,69.2169120032226,69.477297247824,69.6544059880001,,
Small states,SST,Access to electricity (% of total population),EG.ELC.ACCS.ZS,88.8486713357501,90.1550278534803,90.9647335432231,92.0919222790738,93.1195945831784,93.7468179373385,93.826993722259,94.7947483488559,94.5704846062365,
Small states,SST,Population growth (annual %),SP.POP.GROW,1.01453694865616,1.03612470789208,1.15640527639564,1.08792342830391,0.920713681116119,0.891610040984682,1.04213937591557,0.897105994356687,0.806191276603831,0.758404978573975
Small states,SST,energy_poverty_electricity_rural (% of rural population),EG.ELC.ACCS.RU.ZS,82.2079246317143,86.564332669832,85.8628274580042,87.8962693865757,89.6931464562111,90.7682817756348,91.3000547580664,92.1617428840377,92.2683344972475,
Small states,SST,energy_poverty_electricity_urban (% of urban population),EG.ELC.ACCS.UR.ZS,94.8950179950812,95.194632328717,95.5227051660328,95.843433963892,96.11455562104,96.275465432231,96.0280346358307,96.5037468969675,96.6544514246016,
Solomon Islands,SLB,Access to Clean Fuels and Technologies for cooking (% of total population),EG.CFT.ACCS.ZS,8.6,8.5,8.5,8.6,8.6,8.6,8.6,8.7,,
Solomon Islands,SLB,Access to electricity (% of total population),EG.ELC.ACCS.ZS,58.2,62.9,65.8,69.4,72.9,76.3,76.0,81.3,81.5,
Solomon Islands,SLB,Population growth (annual %),SP.POP.GROW,3.52842038261052,3.45614796025836,3.35985912747517,2.65049803426017,2.22072148638778,2.40116798691356,2.39378076885188,2.39583243369756,2.37078352276169,2.34616812843002
